 Resultados de la simulación
 Numero de partículas:         500
 Volumen de la caja   1000.0000000000000     
 Lado de la caja   10.000000000000000     
 Radio de corte del potencial   5.0000000000000000     
 Energía potencial =  -1688.1603719028210     
 Energía cinética  =   1023.1603719028227     
 Energía total     =  -664.99999999999829     
 Momento neto  =   1.7341171882562566E-014
 Posiciones, velocidades, aceleraciones
     i       rx             ry             rz             vx             vy             vz             ax             ay             az
   113       6.194696       0.049844       1.831186      -0.510282       1.239821       0.363169      -1.082954      -0.764088      -0.519856
   114       6.931207       0.919850       1.984162       0.148283      -0.013128      -0.268519       0.289040      -0.738029      -1.556153
   115       7.045254       0.172037       3.138518       1.183708       0.438539       0.339943       0.796742       0.132438      -1.252744
   116       5.885522       1.080003       2.883489       0.897348      -0.242648      -0.318366       2.966312      -3.156517      -0.428185
   117       7.824838       0.112643       2.051659       1.096398       1.364822       1.729453      -1.907911      -0.219543       1.399651
   118       8.871702       1.166779       1.813709      -0.248182       0.078789       1.255932      -2.722753       2.161069      -1.292104
   119       9.073083       0.004246       2.938760      -1.067491       1.115043      -1.902633       1.203998      -1.262791       0.671763
   120       8.159026       1.131636       3.025068       0.597567      -1.725270       1.053293       0.416269       0.961954      -0.781376
   121       0.098291       2.187221       1.812839      -0.946189       1.656691      -0.884173       1.550972      -0.303366      -0.511382
   122       1.181302       2.957645       1.991763      -0.176834      -1.077742       1.552926       0.602570      -3.246465       0.030644
   123       0.909209       2.150714       2.899520      -0.161521       0.492018       1.097961      -0.122482       0.110229      -2.181952
   124      -0.059252       3.197039       3.075552      -1.129561      -0.920825      -1.733614      -7.804497      -3.435767       0.160338
   125       1.811770       1.857925       2.175427      -1.777233       0.213601       1.704139       9.479191      13.852698       1.918446
   126       3.140352       2.808036       1.880100      -1.997793      -1.022224       0.851875       0.867526      -1.586981      -1.078173
   127       3.008972       1.826661       2.972810       0.094002       1.037229      -0.122747      -0.296415       1.334977      -4.521293
   128       2.170585       2.946452       3.153001       0.966952      -1.201648      -1.727475       0.325000       7.272059      -3.575361
   129       4.053526       1.887241       1.969862      -0.195116       1.400460       0.104667      -0.265151      -1.670941       0.279581
   130       4.927843       3.095694       2.062978      -1.491108      -1.718438      -0.564798       0.901746       0.460969       0.745482
   131       5.120058       1.843983       2.950324       0.194981       1.160867      -2.033772      -3.127173       2.497443       0.423645
   132       4.090438       2.934167       3.044298      -0.517243      -0.889479      -0.455147       1.015241       0.357286       1.328380
   133       5.972392       1.987328       2.196610      -0.501259      -0.988480       0.680521       0.684293      -0.006602       0.217409
   134       7.198166       2.877486       1.999903       0.327763      -0.039015       0.851599       1.567142      -0.358851       0.699174
   135       7.074517       2.198177       2.939833       1.699413      -1.899418      -0.688064      -1.272167       1.885689       0.623047
   136       6.081075       3.125250       2.813777      -1.247472      -1.005121      -0.369368       0.892390      -0.513233       1.277703
   137       7.960183       1.985842       1.834384      -0.558924      -0.304784      -1.165256       0.962252       1.510212      -1.627666
   138       8.810916       2.863332       1.868658       1.700256       0.357418       0.785650      -0.323532       0.189477      -0.731260
   139       9.105010       2.054309       3.036897      -1.151661       0.056111       1.514831      -0.241905      -0.939083       2.119116
   140       7.922402       3.047135       3.113347       1.744851      -1.245943       1.323526      -1.233282       0.315228       0.445307
   141      -0.180629       4.121880       2.154103       0.044212      -1.131628       1.757618      -0.509389       1.463758       1.531247
